DR2Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,prob0,probs_final
Gaia DR2 5289873315953700608,0.101109,-0.875791,119.72947963778,-61.62893289958,2.4201,0.0135,-4.897,0.03,11.265,0.026,13.316072322013115,0.001850380041960341,1.026443615202874,0.0030933259599020455,1.0,1.0
Gaia DR2 5289874071868093568,0.235564,-0.943356,120.01350019392,-61.69576853916,2.3531,0.0394,-5.145,0.128,10.44,0.086,16.030524240726564,0.002008122352727422,1.816705713205005,0.006542565173392336,1.0,1.0
Gaia DR2 5289874342447986560,0.29467,-0.913596,120.13754786719,-61.66550457715,2.1846,0.1038,-4.834,0.315,11.464,0.205,17.7647282195466,0.0022493083419078855,2.604685651460972,0.025475967543634882,1.0,1.0
Gaia DR2 5289874724703122432,0.222755,-0.925907,119.98622134051,-61.67841466209,2.3317,0.0256,-5.105,0.067,11.218,0.052,15.405966351667118,0.001844937059610668,1.5726240104745237,0.004957556929504207,1.0,1.0
Gaia DR2 5289876270891357824,0.338508,-0.838575,120.22818055814,-61.59004261484,2.2789,0.0317,-4.406,0.073,10.977,0.057,9.265579967625365,0.0018221892520837335,0.18508082308944473,0.0026568841332078154,1.0,1.0
Gaia DR2 5289876992445790080,0.306106,-0.830009,120.15990581778,-61.58181214051,2.392,0.0206,-4.451,0.046,11.426,0.037,14.566556926389024,0.0018886286180333843,1.3117785322719602,0.0041002090129767955,1.0,1.0
Gaia DR2 5289877576561348480,0.371012,-0.77314,120.29485215571,-61.52424220219,2.3916,0.0147,-4.678,0.033,11.446,0.028,13.952698866523237,0.0018418106897847017,1.137611502721752,0.003241798391375007,1.0,1.0
Gaia DR2 5289877744061776896,0.351342,-0.772844,120.25359440097,-61.52417348384,2.3053,0.0357,-4.584,0.082,11.849,0.071,8.35180043391585,0.0018684471273573884,0.05592782899621085,0.00283196390470545,1.0,1.0
Gaia DR2 5289877748360039168,0.352148,-0.771857,120.25526180664,-61.52317810973,2.2194,0.0477,-5.725,0.119,11.335,0.072,10.69949846906571,0.0019953885109245902,0.44016233107587865,0.0030270556139361613,1.0,1.0
Gaia DR2 5289878950950802688,0.237878,-0.805792,120.01615958349,-61.5581907215,2.521,0.0461,-3.969,0.115,11.821,0.098,16.538039482991685,0.002037960657271894,2.037885189715853,0.007433808017610955,1.0,1.0
Gaia DR2 5289880084822105728,0.239972,-0.743351,120.01954851902,-61.49573604733,2.987,0.1218,-4.915,0.28,10.834,0.252,14.812198465511175,0.0018592133831192327,1.4575622631940792,0.003740490122139964,1.0,1.0
Gaia DR2 5289881768449288576,0.259272,-0.700639,120.05924491234,-61.45287182299,2.3817,0.0395,-4.101,0.088,11.594,0.085,16.367698187701695,0.0021450509109220894,1.972938310521581,0.01048300939866895,1.0,1.0
Gaia DR2 5289882039029655168,0.320564,-0.667353,120.18677929919,-61.4190200547,2.3929,0.08,-4.544,0.186,11.096,0.155,17.292515770646382,0.002139573242299361,2.3579420105827893,0.01605566871824804,1.0,1.0
Gaia DR2 5289882348267322624,0.322456,-0.646047,120.19027355191,-61.39769583956,2.3532,0.0915,-5.199,0.196,11.745,0.178,17.725536623117765,0.002198470985599259,2.5106055763308817,0.03140221187189798,1.0,1.0
