DR2Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia DR2 5276892133787068544" 2.808189 -2.904065 125.82248026905 -63.52118622352 "" "" "" "" "" "" 16.832238964915508 0.009009570857849246 1.3329551531695198 0.008976553165847658
"Gaia DR2 5276892962709713408" 2.935385 -2.879944 126.10066819176 -63.48462124651 "" "" "" "" "" "" 17.296041927744568 0.005644619629505913 1.2558306828767947 0.008396461450327474
"Gaia DR2 5276893920487393536" 2.888465 -2.851728 125.98980515428 -63.46125967458 "" "" "" "" "" "" 18.099425432469733 0.00668585354537145 1.865649768933114 0.019411036460676115
"Gaia DR2 5276894027865315712" 2.927273 -2.84578 126.07483414802 -63.45146608317 "" "" "" "" "" "" 17.12701255848322 0.0036264762952905893 1.1568111413409703 0.008053596622037485
"Gaia DR2 5276895986370459392" 2.824992 -2.814138 125.8402454571 -63.43009797561 "" "" "" "" "" "" 18.52111696026143 0.003667146377878592 1.7577269066436934 0.05230429989380178
"Gaia DR2 5276896909784712576" 2.804542 -2.787133 125.78890012621 -63.4052074395 "" "" "" "" "" "" 18.00126753260749 0.004068784062723639 1.7698773174265625 0.01483563780023956
"Gaia DR2 5276896914083154944" 2.803117 -2.782068 125.78463731391 -63.40030564972 "" "" "" "" "" "" 18.231591530828638 0.0038412999671342024 1.4049308846851538 0.053185790550111856
"Gaia DR2 5276900624934876032" 2.549429 -2.9043 125.24465895115 -63.54531039258 "" "" "" "" "" "" 18.931311635964484 0.00743440037901251 1.5311986253426433 0.017144993718250113
"Gaia DR2 5276903236275005696" 2.675364 -2.797531 125.5038300663 -63.42769972081 "" "" "" "" "" "" 15.212010519162071 0.008438060397735616 0.928840724466431 0.003563965368761769
"Gaia DR2 5276903541213155584" 2.648472 -2.772211 125.43880167501 -63.40495250454 "" "" "" "" "" "" 18.221828912645613 0.018691558171566522 1.8858033264745444 0.02155862279571594
"Gaia DR2 5276906706608412288" 2.656491 -2.722161 125.44638222712 -63.35440293805 "" "" "" "" "" "" 14.890010147332745 0.006559502390593677 0.9179031930904067 0.003301740371494406
